Date,Australia,,Belgium,,Bulgaria,,Canada,,France,,Germany,,Greece,,Hong Kong,,Ireland,,Italy,,Japan,,Malaysia,,Mexico,,Netherlands,,New Zealand,,Portugal,,Singapore,,South Africa,,Spain,,Turkey,,UK,,US
1/1/1973,127.5,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,68.28,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,NA,1/1/1973,971.41,1/1/1973,NA
1/2/1973,127.57,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,69.37,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,NA,1/2/1973,981.91,1/2/1973,100
1/3/1973,125.68,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,68.98,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,NA,1/3/1973,960.47,1/3/1973,100.3
1/4/1973,125.71,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,70.15,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,NA,1/4/1973,959.11,1/4/1973,97.74
1/5/1973,125.67,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,73.05,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,NA,1/5/1973,967.08,1/5/1973,98.34
1/8/1973,126.59,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,74.04,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,NA,1/8/1973,979.95,1/8/1973,98.66
1/9/1973,126.61,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,74,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,NA,1/9/1973,979.77,1/9/1973,99.3
1/10/1973,127.54,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,73.01,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,NA,1/10/1973,986.09,1/10/1973,100
1/11/1973,120.99,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,73.17,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,NA,1/11/1973,985.82,1/11/1973,101.8
1/12/1973,125.67,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,73.17,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,NA,1/12/1973,979.76,1/12/1973,101.59
1/15/1973,126.61,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,73.86,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,NA,1/15/1973,982.62,1/15/1973,103.5
1/16/1973,126.6,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,74.07,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,NA,1/16/1973,980.02,1/16/1973,104.06
1/17/1973,125.67,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,74.87,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,NA,1/17/1973,965.38,1/17/1973,104.77
1/18/1973,125.71,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,75.23,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,916.64,1/18/1973,105.97
1/19/1973,125.62,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,76.77,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,896.26,1/19/1973,106.61
