Country Name,Series Name,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,Secure Internet servers (per 1 million people),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.20321131,34.0268856,63.33076552,73.85742248,89.923716,123.2728413,735.0247651,1628.591391,1872.59091,3018.488825
Argentina,Individuals using the Internet (% of population),..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,0.002992874,0.029527065,0.043705951,0.086277081,0.141954704,0.280339882,0.83076668,3.284481956,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7,68.04306411,70.96898082,74.29490687,..,..
Argentina,"Government expenditure on education, total (% of GDP)",1.16564,1.71984,1.93555,2.40028,2.60715,..,1.59787,1.6175,2.56972,1.36186,1.26155,1.2823,..,1.04612,1.06738,..,..,..,..,..,3.73198,..,4.03987,4.52168,4.58031,4.83374,4.01734,3.53505,3.48652,3.86001,4.12821,4.4626,4.84441,5.53105,5.01971,5.29063,5.34583,5.43661,5.36144,5.77611,5.54549,5.46223,..,..
Argentina,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,..,93.91286,..,..,..,..,..,..,..,..,..,..,96.1282,..,..,..,..,..,..,..,..,..,97.19331,..,..,..,..,98.6108,..,..,98.98342,98.95497,99.10833,99.10523,99.12195,98.99389,99.17996,99.12501,..,99.00387,..
Argentina,"Automated teller machines (ATMs) (per 100,000 adults)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.86135,2.08631,2.866345,4.938225,9.95625,13.81957,19.24595,27.00491,34.48975,43.31245,45.65563,47.50428,50.33182,53.08589,58.92582,..
Argentina,"Life expectancy at birth, total (years)",68.283,68.585,68.891,69.197,69.496,69.777,70.033,70.262,70.466,70.65,70.825,71.001,71.186,71.384,71.594,71.813,72.032,72.246,72.453,72.651,72.843,73.029,73.213,73.396,73.576,73.755,73.932,74.107,74.28,74.451,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,..
Argentina,Fixed broadband subscriptions (per 100 people),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.252175334,0.392763085,0.679610106,1.410369414,2.382751765,4.030842244,6.551710192,7.771278857,8.672885869,9.850015718,11.0647814,12.33040075,14.81423726,15.29042819,15.91589272,16.60166322,17.84999661,19.10152239,..
Argentina,Mobile cellular subscriptions (per 100 people),0,0,0,0,0,0,0,0,0,0,0,0,0,0.007154381,0.036788768,0.07557665,0.138952987,0.329701602,0.701000783,1.163985934,1.892449986,5.634374256,7.406006174,10.55432581,17.59645109,18.08631275,17.42684502,20.58984504,35.10441866,56.96774563,80.19976545,101.8079595,116.0393921,129.6422074,139.580018,146.9554555,154.059023,159.6394613,143.6158316,143.566834,146.4538276,140.8771235,132.0931513,..
Argentina,"School enrollment, secondary (gross), gender parity index (GPI)",1.1034,1.12103,1.13223,1.12778,1.1377,1.14402,1.09957,1.06025,1.08708,1.09945,1.08158,1.05906,1.06442,..,..,..,..,..,..,..,1.09694,1.08231,1.04659,1.0605,1.04985,1.05215,1.05214,1.06097,1.0769,1.08985,1.1033,1.11386,1.12305,1.11477,1.09642,1.10348,1.08933,1.07653,1.06828,1.06081,1.04554,1.04245,..,..
Argentina,"Hospital beds (per 1,000 people)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.594299793,..,..,4.599999905,..,..,3.289999962,..,..,..,4.1,..,..,..,..,4,..,..,..,..,4.5,4.5,4.7,4.9,5,..,..,..,..,..
