country,year,index,,,
Australia,1988,0.104829349,,,
Australia,1989,0.080809649,,,
Australia,1990,0.096301525,,,
Australia,1991,0.085107284,,,
Australia,1992,0.076016375,,,
Australia,1993,0.061719681,,,
Australia,1994,0.04709596,,,
Australia,1995,0.07842007,,,
Australia,1996,0.045370632,,,
Australia,1997,0.057818872,,,
Australia,1998,0.057079334,,,
Australia,1999,0.060339419,,,
Australia,2000,0.063054458,,,
Australia,2001,0.053848265,,,
Australia,2002,0.05311108,,,
Australia,2003,0.055861409,,,
Australia,2004,0.049454169,,,
Australia,2005,0.041713721,,,
Australia,2006,0.076988048,,,
Australia,2007,0.057471454,,,
Australia,2008,0.041745091,,,
Australia,2009,0.042058787,,,
Australia,2010,0.037925842,,,
Australia,2011,0.023662871,,,
Australia,2012,0.022957055,,,
Australia,2013,0.02294137,,,
Australia,2014,0.018280632,,,
Australia,2015,0.011363636,,,
Australia,2016,0.026546521,,,
Australia,2017,0.031222944,,,
Australia,2018,0.034697127,,,
Austria,1985,0.774652582,,,
Austria,1986,0.713172094,,,
Austria,1987,0.741942719,,,
Austria,1988,0.796560324,,,
Austria,1989,0.626298701,,,
Austria,1990,0.527078236,,,
Austria,1991,0.593366115,,,
Austria,1992,0.592392873,,,
Austria,1993,0.376921388,,,
Austria,1994,0.15109323,,,
Austria,1995,0.141545894,,,
Austria,1996,0.12524233,,,
Austria,1997,0.151475155,,,
Austria,1998,0.143766861,,,
Austria,1999,0.083296474,,,
Austria,2000,0.320252996,,,
Austria,2001,0.038466968,,,
Austria,2002,0.064869189,,,
Austria,2003,0.04882913,,,
Austria,2004,0.037580777,,,
Austria,2005,0.031238629,,,
Austria,2006,0.035930736,,,
Austria,2007,0.06086486,,,
Austria,2008,0.026036765,,,
Austria,2009,0.0151672,,,
Austria,2010,0.037910157,,,
Austria,2011,0.011904762,,,
Austria,2012,0.019694617,,,
Austria,2013,0.0151672,,,
Austria,2014,0.060519794,,,
Austria,2015,0.057604774,,,
Austria,2016,0.049995295,,,
Austria,2017,0.06539463,,,
Austria,2018,0.071621494,,,
Belgium,1990,0.167479139,,,
Belgium,1991,0.22157993,,,
Belgium,1992,0.179469383,,,
Belgium,1993,0.034336376,,,
Belgium,1994,0.061737719,,,
Belgium,1995,0.038518728,,,
Belgium,1996,0.068440617,,,
Belgium,1997,0.065247977,,,
Belgium,1998,0.066298858,,,
Belgium,1999,0.042419537,,,
Belgium,2000,0.069725987,,,
Belgium,2001,0.03500847,,,
Belgium,2002,0.045896073,,,
Belgium,2003,0.041582753,,,
Belgium,2004,0.02602108,,,
Belgium,2005,0.030514775,,,
Belgium,2006,0.02005772,,,
Belgium,2007,0.030909248,,,
Belgium,2008,0.030020704,,,
Belgium,2009,0.042223477,,,
Belgium,2010,0.011198946,,,
Belgium,2011,0.026201456,,,
Belgium,2012,0.007936508,,,
Belgium,2013,0.030532813,,,
Belgium,2014,0.037959565,,,
Belgium,2015,0.022578267,,,
Belgium,2016,0.011379321,,,
Belgium,2017,0.023680908,,,
Belgium,2018,0.026726896,,,
Canada,1985,0.185417059,,,
Canada,1986,0.28442578,,,
Canada,1987,0.17466513,,,
Canada,1988,0.234613213,,,
Canada,1989,0.135765261,,,
Canada,1990,0.081862883,,,
Canada,1991,0.057095019,,,
Canada,1992,0.033792898,,,
Canada,1993,0.057095019,,,
Canada,1994,0.042254847,,,
Canada,1995,0.038683418,,,
Canada,1996,0.033612523,,,
Canada,1997,0.03794388,,,
Canada,1998,0.041698036,,,
Canada,1999,0.041912134,,,
Canada,2000,0.053997271,,,
Canada,2001,0.049372608,,,
Canada,2002,0.041549031,,,
Canada,2003,0.048648755,,,
Canada,2004,0.06844297,,,
Canada,2005,0.0580016,,,
Canada,2006,0.058328628,,,
Canada,2007,0.045386317,,,
Canada,2008,0.041253372,,,
Canada,2009,0.030548497,,,
Canada,2010,0.031058253,,,
Canada,2011,0.031024531,,,
Canada,2012,0.034516751,,,
Canada,2013,0.03813994,,,
Canada,2014,0.041222003,,,
Canada,2015,0.026760619,,,
Canada,2016,0.045846665,,,
Canada,2017,0.053850618,,,
Canada,2018,0.042471297,,,
Czech Rep.,2001,0.054409781,,,
Czech Rep.,2002,0.026201456,,,
Czech Rep.,2003,0.037779189,,,
Czech Rep.,2004,0.045485915,,,
Czech Rep.,2005,0.034467344,,,
Czech Rep.,2006,0.052977759,,,
Czech Rep.,2007,0.068523747,,,
Czech Rep.,2008,0.060440586,,,
Czech Rep.,2009,0.076034412,,,
Czech Rep.,2010,0.060998181,,,
Czech Rep.,2011,0.027071962,,,
Czech Rep.,2012,0.034318339,,,
Czech Rep.,2013,0.033810935,,,
Czech Rep.,2014,0.043179465,,,
Czech Rep.,2015,0.019480519,,,
Czech Rep.,2016,0.079968944,,,
Czech Rep.,2017,0.167219556,,,
Czech Rep.,2018,0.111520484,,,
Denmark,1990,0.073789134,,,
Denmark,1991,0.137000439,,,
Denmark,1992,0.082062865,,,
Denmark,1993,0.076755913,,,
Denmark,1994,0.038615973,,,
Denmark,1995,0.062183951,,,
Denmark,1996,0.057079334,,,
Denmark,1997,0.02313743,,,
Denmark,1998,0.034681442,,,
Denmark,1999,0.023103708,,,
Denmark,2000,0.0428344,,,
Denmark,2001,0.049861974,,,
Denmark,2002,0.049882364,,,
Denmark,2003,0.049503576,,,
Denmark,2004,0.045846665,,,
Denmark,2005,0.029989334,,,
Denmark,2006,0.050425842,,,
Denmark,2007,0.061965148,,,
Denmark,2008,0.281125698,,,
Denmark,2009,0.187526664,,,
Denmark,2010,0.026909624,,,
Denmark,2011,0.015182885,,,
Denmark,2012,0.023464458,,,
Denmark,2013,0.031042569,,,
Denmark,2014,0.042043102,,,
Denmark,2015,0.022923333,,,
Denmark,2016,0.019315829,,,
Denmark,2017,0.049916086,,,
Denmark,2018,0.049156158,,,
Finland,1992,0.325797572,,,
Finland,1993,0.08536922,,,
Finland,1994,0.09152864,,,
Finland,1995,0.100867369,,,
Finland,1996,0.076627298,,,
Finland,1997,0.107209518,,,
Finland,1998,0.121172909,,,
Finland,1999,0.088121902,,,
Finland,2000,0.143417874,,,
Finland,2001,0.034498714,,,
Finland,2002,0.030877878,,,
Finland,2003,0.038451283,,,
Finland,2004,0.015710678,,,
Finland,2005,0.011198946,,,
Finland,2006,0.015545988,,,
Finland,2007,0.041943503,,,
Finland,2008,0.037975249,,,
Finland,2009,0.030514775,,,
Finland,2010,0.023286436,,,
Finland,2011,0.007756133,,,
Finland,2012,0.027432712,,,
Finland,2013,0.030844156,,,
Finland,2014,0.041567068,,,
Finland,2015,0.01533189,,,
Finland,2016,0.022397892,,,
Finland,2017,0.034697127,,,
Finland,2018,0.050209392,,,
France,1986,0.038503043,,,
France,1987,0.06883509,,,
France,1988,0.080345379,,,
France,1989,0.071786185,,,
France,1990,0.04918988,,,
France,1991,0.088797917,,,
France,1992,0.094775394,,,
France,1993,0.05003137,,,
France,1994,0.019660895,,,
France,1995,0.065428352,,,
France,1996,0.052763661,,,
