country,year,insti_loan
ARGENTINA,1999,1.208506
ARGENTINA,2000,1.644985
ARGENTINA,2001,0.9350977
ARGENTINA,2002,0.5211878
ARGENTINA,2003,0.3100245
ARGENTINA,2004,0.3134753
ARGENTINA,2005,1.472173
ARGENTINA,2006,0.7571664
ARGENTINA,2007,0.9637817
ARGENTINA,2008,0.4403952
ARGENTINA,2009,12.20867
ARGENTINA,2010,11.50885
ARGENTINA,2011,6.61315
ARGENTINA,2012,8.770786
ARGENTINA,2013,18.62579
ARGENTINA,2014,12.87105
ARGENTINA,2015,13.42341
ARGENTINA,2016,10.63119
ARGENTINA,2017,16.31874
ARGENTINA,2018,18.85235
ARGENTINA,2019,25.51661
AUSTRALIA,1999,0.5022079
AUSTRALIA,2000,3.416173
AUSTRALIA,2001,6.548205
AUSTRALIA,2002,8.607109
AUSTRALIA,2003,17.21054
AUSTRALIA,2004,17.77706
AUSTRALIA,2005,21.28661
AUSTRALIA,2006,24.45964
AUSTRALIA,2007,25.16545
AUSTRALIA,2008,24.95606
AUSTRALIA,2009,22.4318
AUSTRALIA,2010,24.74768
AUSTRALIA,2011,25.10569
AUSTRALIA,2012,24.33494
AUSTRALIA,2013,23.48184
AUSTRALIA,2014,23.45267
AUSTRALIA,2015,25.72713
AUSTRALIA,2016,26.55366
AUSTRALIA,2017,28.1699
AUSTRALIA,2018,30.65199
AUSTRALIA,2019,28.3489
AUSTRIA,1999,1.109378
AUSTRIA,2000,3.544106
AUSTRIA,2001,7.298557
AUSTRIA,2002,8.71921
AUSTRIA,2003,9.918278
AUSTRIA,2004,16.91621
AUSTRIA,2005,16.95868
AUSTRIA,2006,19.58746
AUSTRIA,2007,17.59173
AUSTRIA,2008,17.81282
AUSTRIA,2009,18.38643
AUSTRIA,2010,19.187
AUSTRIA,2011,17.0883
AUSTRIA,2012,17.81278
AUSTRIA,2013,19.26248
AUSTRIA,2014,18.46588
AUSTRIA,2015,19.49638
AUSTRIA,2016,18.98904
AUSTRIA,2017,19.50189
AUSTRIA,2018,18.70227
AUSTRIA,2019,20.34366
BAHRAIN,2006,0.6655227
BAHRAIN,2007,6.958235
BAHRAIN,2008,6.4649
