year,TED,VIX,SENT,FEDFUNDS,INTERNET,ERM,EUROZONE
1986,0.86,,0.44,6.81,0,0,0
1987,1.41,,0.06,6.66,0,0,0
1988,1.31,,0.06,7.57,0,0,0
1989,1.18,,-0.3,9.22,0,0,0
1990,0.79,23.06,-0.59,8.1,0.049581852,0,0
1991,0.61,18.37,-0.25,5.69,0.331622974,0,0
1992,0.4,15.45,0.01,3.52,0.277904982,1,0
1993,0.31,12.69,-0.12,3.02,0.253387458,0,0
1994,0.5,13.93,-0.06,4.2,0.449635166,0,0
1995,0.55,12.39,-0.01,5.84,0.782955693,0,0
1996,0.51,16.44,0.45,5.3,1.331586128,0,0
1997,0.68,22.36,0.2,5.46,2.036134602,0,0
1998,0.79,25.6,-0.04,5.35,3.120735155,0,0
1999,0.77,24.37,0.38,4.97,4.595001294,0,0
2000,0.71,23.32,1.79,6.24,6.690907334,0,0
2001,0.38,25.75,0.85,3.89,8.010814002,0,0
2002,0.19,27.29,-0.58,1.67,10.45894342,0,0
2003,0.21,21.98,-0.56,1.13,12.13996835,0,0
2004,0.25,15.48,0.02,1.35,14.03273183,0,0
2005,0.41,12.81,-0.02,3.21,15.62915896,0,0
2006,0.47,12.81,0.11,4.96,17.41146247,0,0
2007,0.94,17.54,0.03,5.02,20.35812142,0,0
2008,1.55,32.69,-0.21,1.93,23.05145671,0,0
2009,0.54,31.48,-0.02,0.16,25.59586039,0,1
2010,0.21,22.55,-0.12,0.18,29.09413276,0,1
2011,0.28,24.2,,0.1,31.74885013,0,0
2012,0.34,17.8,,0.14,35.28269858,0,0
