Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43E+11,7.43E+11,6.34E+11,6.65E+11,1.02E+12,1.11E+12,9.69E+11,1.00E+12,1.02E+12,1.08E+12,3.01E+12,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26E+11,1.07E+11,1.38E+11,1.31E+11,93726650000,1.01E+11,1.95E+11,2.05E+11,1.95E+11,2.14E+11,2.33E+11,2.32E+11,2.47E+11,
Argentina,,,,,,,,,,,,,,,,,,832500000,1795400000,4319860000,3954900000,1396230000,972900000,1386290000,1170700000,2035830000,1590930000,1418130000,2552540000,3197870000,3615300000,18639700000,18623100000,44055310000,36867200000,37783780000,44692350000,59251850000,45332800000,55847580000,45839340000,33384000000,16571000000,34994620000,40593870000,47590300000,51240130000,57070160000,39850360000,45744930000,63909790000,43579790000,34254750000,53104790000,60142040000,56134630000,63601116144,1.09E+11,45986050000,39393540000,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,38945170000,59668510000,54379650000,41525790000,54036060000,49939570000,59400110000,1.19E+11,1.54E+11,1.38E+11,1.40E+11,1.08E+11,1.45E+11,1.35E+11,2.04E+11,2.19E+11,2.45E+11,3.12E+11,2.96E+11,3.29E+11,4.28E+11,3.73E+11,3.75E+11,3.80E+11,5.86E+11,7.76E+11,8.04E+11,1.10E+12,1.30E+12,6.84E+11,1.26E+12,1.45E+12,1.20E+12,1.39E+12,1.37E+12,1.29E+12,1.19E+12,1.27E+12,1.51E+12,1.26E+12,1.49E+12,
Austria,,,,,,,,,,,,,,,,1300010000,1500040000,1489940000,17449440000,2080280000,1956010000,1583630000,1509680000,1528150000,1485690000,4601560000,6656370000,7938680000,10030320000,24262550000,26319750000,24231900000,19749700000,26238140000,28819770000,30617340000,31914600000,36820060000,2600180000,33022950000,29935220000,25204350000,33578130000,56522450000,87776270000,1.26E+11,1.93E+11,2.36E+11,76288700000,1.14E+11,1.26E+11,85269520000,1.06E+11,1.18E+11,96790330000,96079380000,1.21E+11,1.51E+11,1.17E+11,1.33E+11,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3040000,3220000,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,9000100000,9400050000,10291330000,12507160000,13734380000,10033090000,8369180000,8565170000,10779010000,12342040000,20871330000,37336820000,41648090000,58786050000,74876060000,65449090000,71113600000,64104900000,77975730000,84124970000,1.01E+11,1.19E+11,1.37E+11,2.44E+11,1.84E+11,1.82E+11,1.66E+11,1.28E+11,1.74E+11,2.73E+11,2.88E+11,3.96E+11,3.86E+11,1.67E+11,2.60E+11,2.69E+11,2.29E+11,3.00E+11,3.74E+11,3.79E+11,4.15E+11,3.78E+11,4.38E+11,3.21E+11,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464100000,1019900000,1926220000,7381510000,2770310000,2029540000,1561590000,2192180000,978300000,14892060000,,,3299610000,3850310000,8732760000,11721070000,20928930000,41616870000,47699530000,,,,,70419424536,86178750000,77390500000,,
