country,year,index,,,
Australia,1985,0.338782232,,,
Australia,1986,0.246088211,,,
Australia,1987,0.310215629,,,
Australia,1988,0.307519562,,,
Australia,1989,0.308346504,,,
Australia,1990,0.275724576,,,
Australia,1991,0.25330784,,,
Australia,1992,0.231006652,,,
Australia,1993,0.178928208,,,
Australia,1994,0.18610757,,,
Australia,1995,0.232145344,,,
Australia,1996,0.247696508,,,
Australia,1997,0.2122571,,,
Australia,1998,0.13120395,,,
Australia,1999,0.148424068,,,
Australia,2000,0.185118964,,,
Australia,2001,0.185589622,,,
Australia,2002,0.22853101,,,
Australia,2003,0.168103711,,,
Australia,2004,0.146097147,,,
Australia,2005,0.134319881,,,
Australia,2006,0.104783591,,,
Australia,2007,0.093933605,,,
Australia,2008,0.068780599,,,
Australia,2009,0.087499312,,,
Australia,2010,0.155720303,,,
Australia,2011,0.14171344,,,
Australia,2012,0.156252475,,,
Australia,2013,0.123082638,,,
Australia,2014,0.138405919,,,
Australia,2015,0.098021521,,,
Australia,2016,0.119381018,,,
Australia,2017,0.129097301,,,
Australia,2018,0.139732259,,,
Australia,2019,0.122213287,,,
Belgium,1985,0.338782232,,,
Belgium,1986,0.246088211,,,
Belgium,1987,0.310215629,,,
Belgium,1988,0.307519562,,,
Belgium,1989,0.308346504,,,
Belgium,1990,0.275724576,,,
Belgium,1991,0.25330784,,,
Belgium,1992,0.231006652,,,
Belgium,1993,0.178928208,,,
Belgium,1994,0.18610757,,,
Belgium,1995,0.237642977,,,
Belgium,1996,0.261867445,,,
Belgium,1997,0.221887977,,,
Belgium,1998,0.143410479,,,
Belgium,1999,0.15933627,,,
Belgium,2000,0.209283816,,,
Belgium,2001,0.195602837,,,
Belgium,2002,0.228752385,,,
Belgium,2003,0.172263404,,,
Belgium,2004,0.147079571,,,
Belgium,2005,0.132822952,,,
Belgium,2006,0.106590523,,,
Belgium,2007,0.092789127,,,
Belgium,2008,0.070517929,,,
Belgium,2009,0.088098286,,,
Belgium,2010,0.148714093,,,
Belgium,2011,0.134392123,,,
Belgium,2012,0.148712354,,,
Belgium,2013,0.119262595,,,
Belgium,2014,0.131696343,,,
Belgium,2015,0.093886107,,,
Belgium,2016,0.114453735,,,
Belgium,2017,0.122663533,,,
Belgium,2018,0.138282467,,,
Belgium,2019,0.121400585,,,
Bulgaria,1985,0.338782232,,,
Bulgaria,1986,0.246088211,,,
Bulgaria,1987,0.310215629,,,
Bulgaria,1988,0.307519562,,,
Bulgaria,1989,0.308346504,,,
Bulgaria,1990,0.275724576,,,
Bulgaria,1991,0.25330784,,,
Bulgaria,1992,0.231006652,,,
Bulgaria,1993,0.178928208,,,
Bulgaria,1994,0.18610757,,,
Bulgaria,1995,0.237642977,,,
Bulgaria,1996,0.261867445,,,
Bulgaria,1997,0.221887977,,,
Bulgaria,1998,0.143410479,,,
Bulgaria,1999,0.15933627,,,
Bulgaria,2000,0.209283816,,,
Bulgaria,2001,0.195602837,,,
Bulgaria,2002,0.228752385,,,
Bulgaria,2003,0.172263404,,,
Bulgaria,2004,0.147079571,,,
Bulgaria,2005,0.132822952,,,
Bulgaria,2006,0.106590523,,,
Bulgaria,2007,0.092796976,,,
Bulgaria,2008,0.070801364,,,
Bulgaria,2009,0.088807117,,,
Bulgaria,2010,0.150723587,,,
Bulgaria,2011,0.136101825,,,
Bulgaria,2012,0.15063388,,,
Bulgaria,2013,0.120784336,,,
Bulgaria,2014,0.132941758,,,
Bulgaria,2015,0.094787746,,,
Bulgaria,2016,0.115364953,,,
Bulgaria,2017,0.123596056,,,
Bulgaria,2018,0.140179545,,,
Bulgaria,2019,0.121400585,,,
Canada,1985,0.338782232,,,
Canada,1986,0.246088211,,,
Canada,1987,0.310215629,,,
Canada,1988,0.307519562,,,
Canada,1989,0.308346504,,,
Canada,1990,0.275724576,,,
Canada,1991,0.25330784,,,
Canada,1992,0.231006652,,,
Canada,1993,0.178928208,,,
Canada,1994,0.18610757,,,
Canada,1995,0.23905639,,,
Canada,1996,0.263676722,,,
Canada,1997,0.213421997,,,
Canada,1998,0.183803658,,,
Canada,1999,0.18007782,,,
Canada,2000,0.225331838,,,
Canada,2001,0.189284845,,,
