date,AUSTOLD,ATXINDX,WIBELGL,TTOCOMP,WIDNMKL,WIFRNCL,WIWGRML,HNGKNGI,WIEIREL,WIITALL,JAPDOWA,AMSTEOE,WISNGPL,WISAFRL,WISWITL,FTALLSH,S&PCOMP,BRBOVES,FBMKLCI,OSLOASH,KORCOMP,MADRIDI,SWSEALI,ARGMERV,IFFMBGL,IGPAGEN,MSCOLML,CZPXIDX,ECUBVGI,HEXINDX,GRAGENL,BUXINDX,ICEXALL,ICRI500,ISTA100,AMMANFM,NSEINDX,LUXGENI,MXIPC35,MSMORCL,WINZEAL,PKSE100,IFFPNM$,PEGENRL,PSECOMP,POLWIGI,POPSI20,SXSAX16,SRALLSH,TAIWGHT,BNGKSET,TRKISTB,VENGENL,IFFMBH$,IFFMBOL,BSSOFIX,CHSASHR,IFFMCIL,CTCROBE,CYPMAPM,MSEGYTL,ESTALSE,IFFMGHL,JAKCOMP,JAMSEIN,IFFKZK$,KWKICGN,IFFMLAL,LBBLOMI,IFFMLIL,SXTMMK$,MALTAIX,IFFMMAL,BELEXLN,IFFML,IFGDNGL,OMANMSM,MSQATAL,RMBETRL,RSMICEX,MSSAUDL,SXTMRS$,IFFMSLL,IFFMTT$,TUTUNIN,IFFMUR$,MSUAEIL,TOTMKVI,ZAMALSH,TOTAL
Q1 1985,,,,,,,,,,,,,,,,0.1558,0.8442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40E+06
Q2 1985,,,,,,,,,,,,,,,,0.168909,0.831091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60E+06
Q3 1985,,,,,,,,,,,,,,,,0.170063,0.829937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70E+06
Q4 1985,,,,,,,,,,,,,,,,0.194318,0.805682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60E+06
Q1 1986,,,,,,,,,,,,,,,,0.179813,0.820187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80E+06
Q2 1986,,,,,,,,,,,,,,,,0.200644,0.799356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10E+06
Q3 1986,,,,,,,,,,,,,,,,0.187648,0.812352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20E+06
Q4 1986,,,,,,,,,,,,,,,,0.19653,0.80347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00E+06
Q1 1987,,,,,,,,,,,,,,,,0.222833,0.777167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20E+06
Q2 1987,,,,,,,,,,,,,,,,0.222314,0.777686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+06
